"Country","Region","Population","Area (sq. mi.)","Pop. Density (per sq. mi.)","Coastline (coast/area ratio)","Net migration","Infant mortality (per 1000 births)","GDP ($ per capita)","Literacy (%)","Phones (per 1000)","Arable (%)","Crops (%)","Other (%)","Climate","Birthrate","Deathrate","Agriculture","Industry","Service"
"australia","OCEANIA                            ","20264082","7686850","2.6","0.34","3.98","4.69","29000","100","565.5","6.55","0.04","93.41","1","12.14","7.51","0.038","0.262","0.7"
"austria","WESTERN EUROPE                     ","8192880","83870","97.7","0","2","4.66","30000","98","452.2","16.91","0.86","82.23","3","8.74","9.76","0.018","0.304","0.678"
"belarus","C.W. OF IND. STATES ","10293011","207600","49.6","0","2.54","13.37","6100","99.6","319.1","29.55","0.6","69.85","4","11.16","14.02","0.093","0.316","0.591"
"belgium","WESTERN EUROPE                     ","10379067","30528","340","0.22","1.23","4.68","29100","98","462.6","23.28","0.4","76.32","3","10.38","10.27","0.01","0.24","0.749"
"brazil","LATIN AMER. & CARIB    ","188078227","8511965","22.1","0.09","-0.03","29.61","7600","86.4","225.3","6.96","0.9","92.15","2","16.56","6.17","0.084","0.4","0.516"
"bulgaria","EASTERN EUROPE                     ","7385367","110910","66.6","0.32","-4.58","20.55","7600","98.6","336.3","40.02","1.92","58.06","3","9.65","14.27","0.093","0.304","0.603"
"canada","NORTHERN AMERICA                   ","33098932","9984670","3.3","2.02","5.96","4.75","29800","97","552.2","4.96","0.02","95.02","","10.78","7.8","0.022","0.294","0.684"
"china","ASIA (EX. NEAR EAST)         ","1313973713","9596960","136.9","0.15","-0.4","24.18","5000","90.9","266.7","15.4","1.25","83.35","1.5","13.25","6.97","0.125","0.473","0.403"
"croatia","EASTERN EUROPE                     ","4494749","56542","79.5","10.32","1.58","6.84","10600","98.5","420.4","26.09","2.27","71.65","","9.61","11.48","0.07","0.308","0.622"
"czechrepublic","EASTERN EUROPE                     ","10235455","78866","129.8","0","0.97","3.93","15700","99.9","314.3","39.8","3.05","57.15","3","9.02","10.59","0.034","0.393","0.573"
"denmark","WESTERN EUROPE                     ","5450661","43094","126.5","16.97","2.48","4.56","31100","100","614.6","54.02","0.19","45.79","3","11.13","10.36","0.018","0.246","0.735"
"ecuador","LATIN AMER. & CARIB    ","13547510","283560","47.8","0.79","-8.58","23.66","3300","92.5","125.6","5.85","4.93","89.22","2","22.29","4.23","0.07","0.312","0.618"
"ethiopia","SUB-SAHARAN AFRICA                 ","74777981","1127127","66.3","0","0","95.32","700","42.7","8.2","10.71","0.75","88.54","2","37.98","14.86","0.475","0.099","0.426"
"france","WESTERN EUROPE                     ","60876136","547030","111.3","0.63","0.66","4.26","27600","99","586.4","33.53","2.07","64.4","4","11.99","9.14","0.022","0.214","0.764"
"georgia","C.W. OF IND. STATES ","4661473","69700","66.9","0.44","-4.7","18.59","2500","99","146.6","11.44","3.86","84.7","3","10.41","9.23","0.172","0.275","0.553"
"germany","WESTERN EUROPE                     ","82422299","357021","230.9","0.67","2.18","4.16","27600","99","667.9","33.85","0.59","65.56","3","8.25","10.62","0.009","0.296","0.695"
"greece","WESTERN EUROPE                     ","10688058","131940","81","10.37","2.35","5.53","20000","97.5","589.7","21.1","8.78","70.12","3","9.68","10.24","0.054","0.213","0.733"
"hungary","EASTERN EUROPE                     ","9981334","93030","107.3","0","0.86","8.57","13900","99.4","336.2","50.09","2.06","47.85","3","9.72","13.11","0.037","0.312","0.651"
"india","ASIA (EX. NEAR EAST)         ","1095351995","3287590","333.2","0.21","-0.07","56.29","2900","59.5","45.4","54.4","2.74","42.86","2.5","22.01","8.18","0.186","0.276","0.538"
"indonesia","ASIA (EX. NEAR EAST)         ","245452739","1919440","127.9","2.85","0","35.6","3200","87.9","52","11.32","7.23","81.45","2","20.34","6.25","0.134","0.458","0.408"
"ireland","WESTERN EUROPE                     ","4062235","70280","57.8","2.06","4.99","5.39","29600","98","500.5","15.2","0.03","84.77","3","14.45","7.82","0.05","0.46","0.49"
"israel","NEAR EAST                          ","6352117","20770","305.8","1.31","0.68","7.03","19800","95.4","462.3","16.39","4.17","79.44","3","17.97","6.18","0.026","0.317","0.657"
"italy","WESTERN EUROPE                     ","58133509","301230","193","2.52","2.07","5.94","26700","98.6","430.9","27.79","9.53","62.68","","8.72","10.4","0.021","0.291","0.688"
"jamaica","LATIN AMER. & CARIB    ","2758124","10991","250.9","9.3","-4.92","12.36","3900","87.9","124","16.07","10.16","73.77","2","20.82","6.52","0.049","0.337","0.615"
"japan","ASIA (EX. NEAR EAST)         ","127463611","377835","337.4","7.87","0","3.26","28200","99","461.2","12.19","0.96","86.85","3","9.37","9.16","0.017","0.258","0.725"
"kenya","SUB-SAHARAN AFRICA                 ","34707817","582650","59.6","0.09","-0.1","61.47","1000","85.1","8.1","8.08","0.98","90.94","1.5","39.72","14.02","0.163","0.188","0.651"
"netherlands","WESTERN EUROPE                     ","16491461","41526","397.1","1.09","2.91","5.04","28600","99","460.8","26.71","0.97","72.32","3","10.9","8.68","0.021","0.244","0.736"
"newzealand","OCEANIA                            ","4076140","268680","15.2","5.63","4.05","5.85","21600","99","441.7","5.6","6.99","87.41","3","13.76","7.53","0.043","0.273","0.684"
"norway","WESTERN EUROPE                     ","4610820","323802","14.2","7.77","1.74","3.7","37800","100","461.7","2.87","0","97.13","3","11.46","9.4","0.021","0.415","0.564"
"philippines","ASIA (EX. NEAR EAST)         ","89468677","300000","298.2","12.1","-1.5","23.51","4600","92.6","38.4","18.95","16.77","64.28","2","24.89","5.41","0.144","0.326","0.53"
"poland","EASTERN EUROPE                     ","38536869","312685","123.3","0.16","-0.49","8.51","11100","99.8","306.3","45.91","1.12","52.97","3","9.85","9.89","0.05","0.311","0.64"
"qatar","NEAR EAST                          ","885359","11437","77.4","4.92","16.29","18.61","21500","82.5","232","1.64","0.27","98.09","1","15.56","4.72","0.002","0.801","0.197"
