"year","ISO_code","countries","region","hf_score","hf_rank","pf_score","pf_rank","ef_score","ef_rank","pf_ss_homicide","womens_freedom"
"2018","AUS","australia","Oceania","8.68","5","9.12","10","8.23","5","9.6","10.00"
"2017","AUS","australia","Oceania","8.66","6","9.13","11","8.18","7","9.7","10.00"
"2016","AUS","australia","Oceania","8.63","6","9.1","11","8.16","8","9.6","10.0"
"2015","AUS","australia","Oceania","8.62","6","9.13","11","8.1","11","9.6","10.0"
"2014","AUS","australia","Oceania","8.69","6","9.26","8","8.11","10","9.6","10.0"
"2013","AUS","australia","Oceania","8.61","7","9.19","8","8.02","9","9.6","10.0"
"2012","AUS","australia","Oceania","8.65","7","9.21","8","8.09","10","9.6","9.86"
"2011","AUS","australia","Oceania","8.67","6","9.24","7","8.1","5","9.6","9.86"
"2010","AUS","australia","Oceania","8.68","5","9.25","6","8.1","7","9.6","9.86"
"2009","AUS","australia","Oceania","8.7","4","9.25","7","8.14","6","9.5","9.86"
"2008","AUS","australia","Oceania","8.7","5","9.25","8","8.15","7","9.5","9.86"
"2018","AUT","austria","Western Europe","8.45","15","9.09","15","7.8","26","9.6","10.0"
"2017","AUT","austria","Western Europe","8.44","17","9.12","12","7.75","28","9.7","10.0"
"2016","AUT","austria","Western Europe","8.46","15","9.15","8","7.76","28","9.7","10.0"
"2015","AUT","austria","Western Europe","8.55","11","9.28","4","7.81","27","9.8","10.0"
"2014","AUT","austria","Western Europe","8.57","11","9.3","5","7.84","21","9.8","10.0"
"2013","AUT","austria","Western Europe","8.52","11","9.24","6","7.79","22","9.7","10.0"
"2012","AUT","austria","Western Europe","8.5","12","9.22","7","7.78","19","9.6","9.86"
"2011","AUT","austria","Western Europe","8.46","14","9.11","14","7.8","19","9.6","9.86"
"2010","AUT","austria","Western Europe","8.44","14","9.1","13","7.77","20","9.7","9.86"
"2009","AUT","austria","Western Europe","8.44","11","9.11","14","7.76","16","9.8","9.86"
"2008","AUT","austria","Western Europe","8.45","16","9.11","12","7.79","18","9.7","9.86"
"2018","BLR","belarus","Eastern Europe","6.67","99","6.99","85","6.35","114","9","10.0"
"2017","BLR","belarus","Eastern Europe","6.7","97","7.01","80","6.38","111","8.6","10.0"
"2016","BLR","belarus","Eastern Europe","6.24","120","6.58","99","5.9","133","8.6","10.0"
"2015","BLR","belarus","Eastern Europe","","","","","","","",""
"2014","BLR","belarus","Eastern Europe","","","","","","","",""
"2013","BLR","belarus","Eastern Europe","","","","","","","",""
"2012","BLR","belarus","Eastern Europe","","","","","","","",""
"2011","BLR","belarus","Eastern Europe","","","","","","","",""
"2010","BLR","belarus","Eastern Europe","","","","","","","",""
"2009","BLR","belarus","Eastern Europe","","","","","","","",""
"2008","BLR","belarus","Eastern Europe","","","","","","","",""
"2018","BEL","belgium","Western Europe","8.28","25","8.99","17","7.56","49","9.3","10.0"
"2017","BEL","belgium","Western Europe","8.27","26","9","18","7.53","49","9.3","10.0"
"2016","BEL","belgium","Western Europe","8.22","29","8.89","21","7.54","46","9.4","10.0"
"2015","BEL","belgium","Western Europe","8.35","23","9.07","13","7.63","39","9.2","10.0"
"2014","BEL","belgium","Western Europe","8.43","19","9.05","16","7.8","27","9.3","10.0"
"2013","BEL","belgium","Western Europe","8.31","22","9.03","16","7.58","41","9.3","10.0"
"2012","BEL","belgium","Western Europe","8.27","23","8.98","19","7.55","37","9.3","9.86"
"2011","BEL","belgium","Western Europe","8.3","22","9.01","19","7.58","36","9.2","9.86"
"2010","BEL","belgium","Western Europe","8.34","21","9.04","18","7.63","30","9.3","9.86"
"2009","BEL","belgium","Western Europe","8.29","22","9.05","18","7.52","35","9.3","9.86"
"2008","BEL","belgium","Western Europe","8.29","22","9.02","19","7.56","34","9.2","9.86"
"2018","BRA","brazil","Latin America & the Caribbean","6.83","88","7.1","78","6.56","105","0","10.0"
"2017","BRA","brazil","Latin America & the Caribbean","6.89","81","7.23","72","6.54","106","0","10.0"
"2016","BRA","brazil","Latin America & the Caribbean","6.68","98","6.91","87","6.45","108","0","8.5"
"2015","BRA","brazil","Latin America & the Caribbean","6.68","98","7.15","75","6.2","121","0","8.5"
"2014","BRA","brazil","Latin America & the Caribbean","6.93","79","7.46","65","6.4","113","0","8.5"
"2013","BRA","brazil","Latin America & the Caribbean","6.99","78","7.48","62","6.5","109","0","8.5"
"2012","BRA","brazil","Latin America & the Caribbean","7.12","68","7.61","60","6.63","95","0","9.26"
"2011","BRA","brazil","Latin America & the Caribbean","7.21","65","7.74","58","6.68","92","0.3","9.26"
"2010","BRA","brazil","Latin America & the Caribbean","7.34","60","8.01","51","6.66","93","1.2","10.0"
"2009","BRA","brazil","Latin America & the Caribbean","7.24","62","7.99","51","6.49","93","0.9","10.0"
"2008","BRA","brazil","Latin America & the Caribbean","7.23","66","7.95","53","6.5","92","0.5","10.0"
"2018","BGR","bulgaria","Eastern Europe","7.93","37","8.11","41","7.74","32","9.5","10.0"
"2017","BGR","bulgaria","Eastern Europe","7.89","39","8.02","43","7.76","26","9.4","10.0"
"2016","BGR","bulgaria","Eastern Europe","7.83","41","8.06","46","7.6","41","9.5","10.0"
"2015","BGR","bulgaria","Eastern Europe","7.85","44","8.17","42","7.52","44","9.3","10.0"
"2014","BGR","bulgaria","Eastern Europe","7.96","41","8.33","41","7.58","40","9.4","10.0"
"2013","BGR","bulgaria","Eastern Europe","7.93","41","8.27","41","7.59","40","9.4","10.0"
"2012","BGR","bulgaria","Eastern Europe","7.98","40","8.31","43","7.65","29","9.2","10.0"
"2011","BGR","bulgaria","Eastern Europe","8","41","8.4","42","7.6","34","9.3","10.0"
"2010","BGR","bulgaria","Eastern Europe","8.01","39","8.33","42","7.68","27","9.2","10.0"
"2009","BGR","bulgaria","Eastern Europe","8.01","38","8.38","41","7.63","26","9.2","10.0"
"2008","BGR","bulgaria","Eastern Europe","7.89","41","8.27","43","7.51","35","9.1","10.0"
"2018","CAN","canada","North America","8.64","6","9.1","13","8.17","9","9.3","10.0"
"2017","CAN","canada","North America","8.69","4","9.12","12","8.26","6","9.3","10.0"
"2016","CAN","canada","North America","8.64","5","9.04","15","8.24","6","9.3","10.0"
